[02:02:22] #6BB4 :: (2) :: Warning :: fopen(http://localhost/ypCore2/apps/admin/view/simple/layout/nav.php): failed to open stream: HTTP wrapper does not support writeable connections [D:\xampp\htdocs\ypCore2\ypCore\library\Smarty\sysplugins\smarty_internal_resource_stream.php (55)]
[02:29:51] #F404 :: Error 404 :: /ypCore2/index.php?_code_=Admincp/News/Index - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[02:59:01] #E301 :: (1024) :: Notice :: Could not load language file: D:/xampp/htdocs/ypCore2/apps/admin/language/en/News/Listpost.php [D:\xampp\htdocs\ypCore2\apps\class\language.php (35)]
[08:09:35] #F404 :: Error 404 :: /ypCore2/index.php?_code_=apps/view/ypBootstrap/fonts/icons.woff - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[08:09:36] #F404 :: Error 404 :: /ypCore2/index.php?_code_=apps/view/ypBootstrap/fonts/icons.ttf - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[08:09:36] #C816 :: (2) :: Warning :: rename(D:/xampp/htdocs/ypCore2/apps/cache/compile_dir\wrt52c7b3b0dff672.85623014,D:/xampp/htdocs/ypCore2/apps/cache/compile_dir\2e80eb6f1bfe5efbe411c45c8e9b0417b24c0dc1.file.404.php.php): Access is denied. (code: 5) [D:\xampp\htdocs\ypCore2\ypCore\library\Smarty\sysplugins\smarty_internal_write_file.php (60)]
[12:22:26] #F404 :: Error 404 :: /ypCore2/index.php?_code_=apps/view/ypBootstrap/fonts/icons.woff - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[12:22:27] #F404 :: Error 404 :: /ypCore2/index.php?_code_=apps/view/ypBootstrap/fonts/icons.ttf - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[12:22:29] #F404 :: Error 404 :: /ypCore2/index.php?_code_=apps/view/ypBootstrap/fonts/icons.svg - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[12:35:25] #F404 :: Error 404 :: /ypCore2/index.php?_code_=apps/view/ypBootstrap/fonts/icons.woff - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[12:35:26] #F404 :: Error 404 :: /ypCore2/index.php?_code_=apps/view/ypBootstrap/fonts/icons.ttf - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[12:35:26] #580C :: (2) :: Warning :: rename(D:/xampp/htdocs/ypCore2/apps/cache/compile_dir\wrt52c7f1fecbb5b4.78014534,D:/xampp/htdocs/ypCore2/apps/cache/compile_dir\2e80eb6f1bfe5efbe411c45c8e9b0417b24c0dc1.file.404.php.php): Access is denied. (code: 5) [D:\xampp\htdocs\ypCore2\ypCore\library\Smarty\sysplugins\smarty_internal_write_file.php (60)]
[12:35:28] #F404 :: Error 404 :: /ypCore2/index.php?_code_=apps/view/ypBootstrap/fonts/icons.svg - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
[03:34:17] #F404 :: Error 404 :: /ypCore2/index.php?_code_=Admincp/User - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36]
