[04:50:14] #F404 :: Error 404 :: /ypCore2/admincp/module/news/index - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36]
[04:54:49] #F404 :: Error 404 :: /ypCore2/admincp/news/indexss - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36]
[05:10:42] #B3CD :: (2) :: Warning :: Missing argument 1 for __DATABASE::fatalError(), called in D:\xampp\htdocs\ypCore2\apps\admin\model\News\Progress.php on line 6 and defined [D:\xampp\htdocs\ypCore2\ypCore\class\database.php (98)]
[05:16:09] #8574 :: (2) :: Warning :: mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given [D:\xampp\htdocs\ypCore2\ypCore\class\database.php (226)]
[05:17:07] #17BC :: (2) :: Warning :: mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given [D:\xampp\htdocs\ypCore2\ypCore\class\database.php (226)]
[05:19:12] #15CB :: (2) :: Warning :: mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given [D:\xampp\htdocs\ypCore2\ypCore\class\database.php (226)]
[05:19:28] #E818 :: (2) :: Warning :: mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given [D:\xampp\htdocs\ypCore2\ypCore\class\database.php (226)]
[05:20:09] #6451 :: (2) :: Warning :: mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given [D:\xampp\htdocs\ypCore2\ypCore\class\database.php (226)]
[05:20:21] #D968 :: (2) :: Warning :: mysqli_num_rows() expects parameter 1 to be mysqli_result, boolean given [D:\xampp\htdocs\ypCore2\ypCore\class\database.php (226)]
[05:27:09] #F404 :: Error 404 :: /ypCore2/plugin/pdw_file_browser/index.php?filter=image&CKEditor=post_content&CKEditorFuncNum=1&langCode=vi - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36]
[05:33:31] #F404 :: Error 404 :: /ypCore2/plugin/p - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36]
[05:33:36] #F404 :: Error 404 :: /ypCore2/plugin/ - IP :: 0.0.0.0 - UserAgent :: [Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36]
